artist,Gender ,Source 
CDQ,Male,https://www.google.com/search?q=cdq&oq=cdq&aqs=chrome..69i57j0i512j35i39j0i433i512j69i60l4.797j0j9&sourceid=chrome&ie=UTF-8
CDQ,Male,https://www.google.com/search?q=cdq&oq=cdq&aqs=chrome..69i57j0i512j35i39j0i433i512j69i60l4.797j0j9&sourceid=chrome&ie=UTF-8
CDQ,Male,https://www.google.com/search?q=cdq&oq=cdq&aqs=chrome..69i57j0i512j35i39j0i433i512j69i60l4.797j0j9&sourceid=chrome&ie=UTF-8
Chidinma,Female,https://www.google.com/search?q=chidinma&oq=chidinma+&aqs=chrome..69i57j46i67j46i512j0i512l2j46i512j0i512j46i512j0i512.2438j0j9&sourceid=chrome&ie=UTF-8
Chidokeyz,Male,https://www.thecityceleb.com/biography/chidokeyz-biography-age-net-worth-songs-secrets-wiki-more/
chike,Male,https://www.google.com/search?q=chike&sxsrf=AOaemvKDnRVfzuNjFN7Uc_WKxbDGrbcmag%3A1638267355933&ei=2_mlYbCrONeA8gK_zqLgCQ&ved=0ahUKEwjwhLC-7b_0AhVXgFwKHT-nCJwQ4dUDCA8&uact=5&oq=chike&gs_lcp=Cgdnd3Mtd2l6EAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAEEcQsAMyBwgAELADEEMyEAguEMcBEKMCEMgDELADEEMyEAguEMcBEKMCEMgDELADEEMyEAguEMcBENEDEMgDELADEEMyCgguEMgDELADEEMyCgguEMgDELADEENKBAhBGABQpQVYpQVggwZoAXACeACAAQCIAQCSAQCYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Cruel Santino,Male,https://open.spotify.com/artist/15GgEOJiFyjQm4tZ4D7qih
Cruel Santino,Male,https://open.spotify.com/artist/15GgEOJiFyjQm4tZ4D7qih
Cruel Santino,Male,https://open.spotify.com/artist/15GgEOJiFyjQm4tZ4D7qih
Cruel Santino,Male,https://open.spotify.com/artist/15GgEOJiFyjQm4tZ4D7qih
Cruel Santino,Male,https://open.spotify.com/artist/15GgEOJiFyjQm4tZ4D7qih
Cynthia Morgan,Female,https://www.google.com/search?q=Cynthia+Morgan+&sxsrf=AOaemvL2jDAnxGLD_Yij_xkH-h5urp-hdw%3A1638270070931&ei=dgSmYeOfOMWhgQb76piADQ&ved=0ahUKEwjjsv7M97_0AhXFUMAKHXs1BtAQ4dUDCA8&uact=5&oq=Cynthia+Morgan+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQguEIAEOgcIABBHELADOgcIABCwAxBDOgoILhDIAxCwAxBDOgQIIxAnOgQILhBDOhEILhCABBCxAxCDARDHARCjAjoLCAAQgAQQsQMQgwE6DgguEIAEELEDEMcBEKMCOgUILhCRAjoFCAAQkQI6CAgAELEDEIMBOggILhCABBCxAzoICAAQgAQQsQM6CwguEIAEELEDEIMBSgQIQRgAUOgGWOAdYMUfaANwAngAgAGxAYgBiA2SAQQ1LjEwmAEAoAEByAEPwAEB&sclient=gws-wiz
Dammy Krane,Male,https://www.google.com/search?gs_ssp=eJzj4tbP1TcwNMjIzTA0M2D04k5JzM2tVMguSsxLBQBhlwfl&q=dammy+krane&oq=dammy+kra&aqs=chrome.1.0i355i512j46i512j69i57j0i512j46i512l3j0i512l3.3397j0j4&sourceid=chrome&ie=UTF-8
Dammy Krane,Male,https://www.google.com/search?gs_ssp=eJzj4tbP1TcwNMjIzTA0M2D04k5JzM2tVMguSsxLBQBhlwfl&q=dammy+krane&oq=dammy+kra&aqs=chrome.1.0i355i512j46i512j69i57j0i512j46i512l3j0i512l3.3397j0j4&sourceid=chrome&ie=UTF-8
